ticker,as_of_date,last_close,hv20,hv60,hv90,atr_pct,avg_daily_dollar_volume_20d,gap_freq_3pct,gap_freq_5pct,price_return_20d,price_return_60d,realized_move_mean_abs_20d,beta_spy_60d,beta_spy_120d,beta_qqq_60d,beta_qqq_120d,atm_front_month_iv,atm_30_45d_iv,avg_near_dated_liquid_iv,put_skew,call_skew,avg_option_spread_pct,total_option_volume,total_option_open_interest,liquid_expiration_count,liquid_contract_count,put_candidate_count,call_candidate_count,avg_put_premium_yield_annualized,avg_call_premium_yield_annualized,best_put_premium_yield_annualized,best_call_premium_yield_annualized,iv_rank_1y,iv_percentile_1y,iv_persistence_ratio_90d,sector,industry,theme_cluster,market_cap,shares_outstanding,is_etf,is_leveraged_etf,is_chinese_adr,next_earnings_date,earnings_within_7d,biotech_or_pharma,binary_event_risk,iv_to_hv20,iv_to_hv60,iv_minus_hv20,iv_minus_hv60,tradability_balance,eligible,exclusion_reasons
APP,2026-03-13,178.3008,0.5751192283863145,0.5535429771481422,0.5631593557355112,0.14439275010063246,1193127707.1821551,0.058333333333333334,0.008333333333333333,-0.1030316689271038,-0.16916444319356272,0.03099479431116412,0.7612203685468264,1.049691315514434,0.5292197797607254,0.7987992844657872,0.82145,0.77735,0.7908299999999999,0.05654999999999999,0.07752500000000007,0.12168988836083483,313134,1784253,10,480,14,7,0.4036718594351202,0.3135574258426237,0.5677620181020385,0.3786362279233288,0.7762237762237695,0.5714285714285714,0.6666666666666666,Communication Services,Advertising Agencies,Ad Tech,43000000000.0,365000000.0,False,False,False,2026-03-30,False,False,False,1.4283125297424801,1.4839859485384803,0.24633077161368555,0.22380702285185783,10.5,True,
BTDR,2026-03-13,6.4557,0.780001320009394,0.7672396203824131,0.7255558972360643,0.23415298551224942,121989984.49727497,0.06666666666666667,0.025,-0.2949290636843197,-0.42609878387027944,0.04268332955185569,1.4715919948703662,1.1205991561133801,1.2885573013429064,0.8876079878219261,1.06215,1.02295,1.0241,0.09655000000000014,0.12194999999999978,0.14261467889908244,106406,584346,0,6,0,0,,,,,0.10891089108910793,0.2857142857142857,0.3333333333333333,Information Technology,Bitcoin Mining,BTC Miners,2600000000.0,192000000.0,False,False,True,2026-04-17,False,False,False,1.3617284647508132,1.3843784546353268,0.2821486799906059,0.2557103796175869,0.0,False,Chinese ADR excluded
CIFR,2026-03-13,1.7927,0.7096911499620049,0.887621652881485,0.9722523558680735,0.19372215891432717,47398624.260464996,0.10833333333333334,0.03333333333333333,-0.017752451920442724,-0.6259831841605641,0.03946365667494783,1.2893045490976605,1.1658888999502837,0.8076246864396709,0.7119912132072519,1.1414,1.0973000000000002,1.1068,0.12299999999999978,0.1528999999999998,0.13201322905660298,73684,426906,10,59,1,0,0.8030363364858137,,0.8030363364858137,,0.3729216152019064,0.42857142857142855,0.3333333333333333,Information Technology,Bitcoin Mining,BTC Miners,1400000000.0,240000000.0,False,False,False,2026-03-31,False,False,False,1.608305246671186,1.2859082428810458,0.4317088500379951,0.20967834711851518,0.5,False,stock price below minimum
CLSK,2026-03-13,5.4502,0.8418566389138361,0.8098893258338782,0.7471427548416946,0.2248515126574647,211441167.77764502,0.041666666666666664,0.016666666666666666,-0.20655117193186778,-0.5293599530240751,0.044423541886714504,1.7856119117652787,1.2555807925519786,1.443729114589862,1.1489004451798885,1.0357,0.9916,1.0054375000000002,0.11154999999999982,0.11470000000000002,0.12635785638515148,146550,796526,10,141,3,0,0.5031369386537093,,0.6208090942562593,,0.924107142857142,0.8571428571428571,0.6666666666666666,Information Technology,Bitcoin Mining,BTC Miners,3800000000.0,215000000.0,False,False,False,2026-03-29,False,False,False,1.2302569726554164,1.278816706138981,0.19384336108616396,0.18171067416612185,1.5,True,
HIMS,2026-03-13,51.7473,0.3707815236844189,0.4031846013209081,0.44096877645842303,0.1057527915190054,674669345.192325,0.0,0.0,0.13326836319039903,-0.0906977479757084,0.02081108333320881,1.0731310497493194,1.1350416169557835,0.7059351907170377,0.8711329217466964,0.6414500000000001,0.5924499999999999,0.6098714285714285,0.04700000000000004,0.05830000000000013,0.1301767784693859,183347,984864,10,191,5,3,0.3232699560724398,0.25165729491812566,0.39150723416210137,0.266080307442404,0.0,0.14285714285714285,0.6666666666666666,Healthcare,Health Information Services,Consumer Health,8100000000.0,225000000.0,False,False,False,2026-04-01,False,False,False,1.7299945089657531,1.590958578027261,0.27066847631558116,0.1892653986790918,4.0,True,
IREN,2026-03-13,1.3532,1.019428785473408,0.9569189106595507,0.9750435442468136,0.34073729994510366,67244182.325715,0.058333333333333334,0.03333333333333333,-0.37456091699020155,-0.5156937833291578,0.0499643027148816,1.3319980803147953,1.2284787034243692,1.1184946386195183,1.1404321657240684,1.20345,1.1593499999999999,1.1786124999999998,0.14444999999999997,0.1596000000000002,0.12470505528088432,160682,916052,10,161,4,0,0.8741041619380687,,0.9610252904989748,,0.0,0.14285714285714285,0.3333333333333333,Information Technology,Bitcoin Mining,BTC Miners,2000000000.0,185000000.0,False,False,False,2026-04-04,False,False,False,1.180514045854743,1.2576300735561063,0.18402121452659181,0.20243108934044918,2.0,False,stock price below minimum
MARA,2026-03-13,4.0104,1.065495753901386,0.9997273178522181,0.9875668747413409,0.2246765552420849,205332516.00353998,0.10833333333333334,0.025,0.11916057375676714,-0.4909432477373986,0.05035800056749142,2.188867605619123,1.9564519176199322,1.6543551216010173,1.3929891294609338,1.0958,1.0566,1.062475,0.12385000000000002,0.1295250000000001,0.10430971385583593,214438,1187879,10,325,9,1,0.6157297137500849,0.5228324775784069,0.8137644690488174,0.5228324775784069,0.8741258741258723,0.8571428571428571,0.6666666666666666,Information Technology,Bitcoin Mining,BTC Miners,6200000000.0,255000000.0,False,False,False,2026-03-28,False,False,False,1.0284414517727105,1.096098886598579,0.03030424609861404,0.05687268214778185,5.0,False,stock price below minimum
NVDA,2026-03-13,646.4962,0.5185996620559836,0.5062783572571564,0.49592876798376145,0.1259744339675049,42027741766.23927,0.008333333333333333,0.0,0.09190628365780795,-0.1493455382680967,0.026522573105990304,1.3887153933282852,1.3298198417217608,0.9446430231447748,0.9281932704282805,0.5806,0.5365,0.54855625,0.033175000000000066,0.04464999999999997,0.07546268073366244,397790,2185216,10,590,10,16,0.23499879410615207,0.1653519859102933,0.39036030615285205,0.2964035779665088,0.3366336633663436,0.5714285714285714,0.6666666666666666,Technology,Semiconductors,AI Infra,1980000000000.0,2450000000.0,False,False,False,2026-04-03,False,False,False,1.11955337128107,1.1467999602935683,0.06200033794401638,0.030221642742843557,13.0,True,
OKLO,2026-03-13,35.9175,0.8335116837961913,0.7032043150378908,0.7195329261590178,0.18152969602959163,483494612.42079496,0.11666666666666667,0.016666666666666666,-0.12298158181964691,-0.4878746745525009,0.03919581647613289,1.465320763019028,1.4442550877434421,1.1077096689076076,1.2085714632998414,1.0104,0.9614,0.9615,0.11089999999999978,0.12412500000000004,0.14032687191182056,175268,968389,0,14,0,0,,,,,0.0,0.14285714285714285,0.3333333333333333,Utilities,Utilities - Regulated Electric,Nuclear,3700000000.0,142000000.0,False,False,False,2026-03-21,False,False,False,1.2122205598824707,1.4368512513259486,0.17688831620380863,0.2581956849621092,0.0,True,
PLTR,2026-03-13,64.1151,0.5115144750399714,0.538342065548146,0.5507972762357628,0.10898012213302993,5511193638.211606,0.016666666666666666,0.0,0.006511743272794579,0.2960426441128847,0.02477863258999479,1.2008940980136513,1.0713324945025826,0.7260551469898423,0.7417768420825305,0.69205,0.64795,0.66075,0.05224999999999991,0.06409999999999993,0.09730248627093821,200255,1143189,10,323,7,9,0.2790368853762369,0.23766046483348374,0.3957358084476729,0.3279751963601703,0.504065040650406,0.42857142857142855,0.3333333333333333,Technology,Software - Infrastructure,AI Infra,65000000000.0,2320000000.0,False,False,False,2026-04-02,False,False,False,1.352943139968661,1.2855209434457753,0.18053552496002867,0.10960793445185402,8.0,True,
