ticker,as_of_date,last_close,hv20,hv60,hv90,atr_pct,avg_daily_dollar_volume_20d,gap_freq_3pct,gap_freq_5pct,price_return_20d,price_return_60d,realized_move_mean_abs_20d,beta_spy_60d,beta_spy_120d,beta_qqq_60d,beta_qqq_120d,atm_front_month_iv,atm_30_45d_iv,avg_near_dated_liquid_iv,put_skew,call_skew,avg_option_spread_pct,total_option_volume,total_option_open_interest,liquid_expiration_count,liquid_contract_count,put_candidate_count,call_candidate_count,avg_put_premium_yield_annualized,avg_call_premium_yield_annualized,best_put_premium_yield_annualized,best_call_premium_yield_annualized,iv_rank_1y,iv_percentile_1y,iv_persistence_ratio_90d,sector,industry,theme_cluster,market_cap,shares_outstanding,is_etf,is_leveraged_etf,is_chinese_adr,next_earnings_date,earnings_within_7d,biotech_or_pharma,binary_event_risk,iv_to_hv20,iv_to_hv60,iv_minus_hv20,iv_minus_hv60,tradability_balance,eligible,exclusion_reasons,beta_component,implied_vol_component,iv_vs_realized_component,option_liquidity_component,stock_liquidity_component,recurring_moves_component,tradability_component,persistent_iv_component,theme_cluster_component,wide_spread_penalty,microcap_penalty,event_risk_penalty,raw_score,composite_score,cash_secured_put_score,covered_call_score,wheel_score,watchlist_score,suitable_cash_secured_puts,suitable_covered_calls,suitable_wheel,suitable_watchlist,recommended_strategy,why_it_ranked
MARA,2025-11-14,424.2679,0.8516094080155349,0.9531133469191494,0.9098865427132725,0.18573917901536133,19563462414.778976,0.08333333333333333,0.016666666666666666,0.33522507152633474,0.3284101519129865,0.04204083366881752,1.588690636117722,1.576522029215599,1.454340157694056,1.2533250695922686,1.0922999999999998,1.0531000000000001,1.06534,0.11489999999999978,0.13619999999999988,0.10582349399340625,232133,1349902,10,331,9,2,0.680884542565946,0.5026276951925666,0.8768118628359592,0.52414307996377,0.5000000000000104,0.6666666666666666,0.6666666666666666,Information Technology,Bitcoin Mining,BTC Miners,6200000000.0,255000000.0,False,False,False,2025-11-29,False,False,False,1.2826302642021474,1.146033683748904,0.24069059198446496,0.09998665308085075,5.5,True,,0.6875,0.8083333333333332,0.375,0.8203125,0.8125,0.6875,0.8578125,0.4583333333333333,0.8125,0.26666666666666666,0.375,0.0,0.6280000000000001,62.80000000000001,0.7912500000000001,0.8484375,0.82,0.7079444444444444,True,True,True,True,covered_calls,"Elevated ATM IV, Strong option liquidity, Multiple sellable 10-30 delta strikes"
TSLA,2025-11-14,242.7324,0.4330429835200949,0.5174741922439973,0.5362547526866205,0.14154358579948237,35579879657.96991,0.03333333333333333,0.008333333333333333,-0.15380820888211966,-0.2772026742611299,0.023039651636962998,1.2670156792414076,1.5935337479216256,1.189281954629788,1.162559931862812,0.73095,0.68685,0.6995571428571429,0.057700000000000085,0.07302500000000012,0.08422355523856304,375051,2098379,10,558,13,14,0.3159430282185997,0.24330155790587807,0.4870614064888738,0.34157592028510153,1.0,1.0,0.6666666666666666,Consumer Discretionary,Auto Manufacturers,EV,705000000000.0,3200000000.0,False,False,False,2025-12-12,False,False,False,1.6879386754134558,1.4125342112816817,0.2979070164799051,0.1693758077560027,13.5,True,,0.5833333333333334,0.25555555555555554,0.8125,0.8828125,0.9166666666666666,0.265625,0.678125,0.75,0.125,0.13333333333333333,0.0625,0.0,0.6147673611111112,61.476736111111116,0.7084375,0.7255208333333334,0.7722569444444445,0.4845520833333334,True,True,True,True,wheel,"Strong option liquidity, IV well above realized vol, Persistent elevated IV backdrop"
IREN,2025-11-14,13.3308,0.9103303616758891,0.9903109039702048,1.0775660217488965,0.21023601627166305,413238940.5032749,0.09166666666666666,0.008333333333333333,0.1401544632700713,-0.2767264204175529,0.04928832377387028,1.8657095534663624,2.320207626958297,1.3410640794356357,1.667130281592276,1.22405,1.1750500000000001,1.180625,0.13944999999999985,0.15368333333333317,0.12442763165528739,54508,323462,10,60,2,0,0.8503494939985878,,0.8665850788420804,,0.7112676056338143,0.6666666666666666,0.6666666666666666,Information Technology,Bitcoin Mining,BTC Miners,2000000000.0,185000000.0,False,False,False,2025-12-06,False,False,False,1.3446217456117393,1.2360259743609041,0.313719638324111,0.18473909602979532,1.0,True,,0.8958333333333334,1.0,0.5625,0.3828125,0.2708333333333333,0.75,0.5703125,0.4791666666666667,0.8125,0.4666666666666667,0.8125,0.0,0.5321250000000001,53.212500000000006,0.6703125,0.3979166666666667,0.4836805555555556,0.8093194444444446,True,False,False,True,watchlist,"High beta vs QQQ/SPY, Elevated ATM IV, Frequent large gaps and ATR"
APP,2025-11-14,149.1513,0.42177015133091716,0.663558764794972,0.6342339038556131,0.13154949753323347,1051664845.0942949,0.05,0.016666666666666666,-0.1747400163224655,-0.25770593068631364,0.02251226352955122,1.530492249333279,1.472077121964305,1.101019156795946,0.9895516613406,0.8209500000000001,0.77685,0.7904285714285715,0.06074999999999997,0.07465,0.11865758442561931,221663,1293534,10,349,9,4,0.407972194384405,0.3191380045538472,0.5423823564809243,0.4241353456405194,0.765151515151522,0.6666666666666666,0.6666666666666666,Communication Services,Advertising Agencies,Ad Tech,43000000000.0,365000000.0,False,False,False,2025-12-01,False,False,False,1.9464393044634634,1.2371926098416606,0.3991798486690829,0.11329123520502804,6.5,True,,0.3541666666666667,0.3833333333333333,0.8125,0.8046875,0.75,0.3203125,0.7203125,0.5,0.4375,0.4,0.1875,0.0,0.5223697916666667,52.23697916666667,0.7337499999999999,0.7328125,0.7570833333333332,0.4199565972222223,True,True,True,False,wheel,"Strong option liquidity, IV well above realized vol, Multiple sellable 10-30 delta strikes"
CLSK,2025-11-14,76.4125,0.8670166662161214,0.8363304185523955,0.813554102627068,0.16832745203430632,2421393150.2706056,0.125,0.025,0.004218605231858907,-0.021209633103321024,0.043606037130634344,1.7658920683087727,1.9637719190402352,1.4774252307027276,1.5889519166656592,1.03025,0.98125,1.0037800000000001,0.10784999999999978,0.12275000000000014,0.12630240330494544,192179,1063084,10,176,5,0,0.6556425062802772,,0.7834561567164179,,0.0,0.3333333333333333,0.6666666666666666,Information Technology,Bitcoin Mining,BTC Miners,3800000000.0,215000000.0,False,False,False,2025-11-30,False,False,False,1.1882701222991134,1.2318695782741707,0.16323333378387872,0.14491958144760442,2.5,True,,0.875,0.5750000000000001,0.3333333333333333,0.6953125,0.6458333333333334,0.7578125,0.559375,0.2708333333333333,0.8125,0.6,0.5625,0.0,0.4978697916666667,49.78697916666667,0.6575000000000001,0.5354166666666667,0.6294097222222222,0.6492899305555556,True,False,False,False,cash_secured_puts,"High beta vs QQQ/SPY, Frequent large gaps and ATR"
PLTR,2025-11-14,29.7804,0.6197986971798238,0.5502010191925845,0.49414673426921585,0.1408642213382915,2503055605.0063553,0.016666666666666666,0.0,0.026068261220101974,-0.11072225224929311,0.030713013487527994,1.777794239117578,1.7145981863449253,1.5177189663858424,1.2630353919741808,0.6932499999999999,0.6491499999999999,0.66225,0.05200000000000016,0.06862500000000016,0.10155378936816775,190173,1054430,10,302,8,8,0.2955722967537536,0.2291015741353719,0.4473241302377467,0.33893362465420335,0.9772727272727043,0.6666666666666666,0.6666666666666666,Technology,Software - Infrastructure,AI Infra,65000000000.0,2320000000.0,False,False,False,2025-12-04,False,False,False,1.1185083207731645,1.2599940309404347,0.07345130282017609,0.09894898080741543,8.0,True,,0.8125,0.19166666666666665,0.2916666666666667,0.6796875,0.7083333333333334,0.203125,0.54375,0.5625,0.3125,0.2,0.125,0.0,0.46119791666666665,46.119791666666664,0.48718750000000005,0.5838541666666668,0.583576388888889,0.4884548611111111,False,False,False,False,covered_calls,High beta vs QQQ/SPY
RIOT,2025-11-14,68.3871,0.8460738609835268,0.8553974562565108,0.8109374564433341,0.1690419057729559,1924680461.6750996,0.11666666666666667,0.025,0.49656971413190254,0.4094068863750182,0.0449082778423502,1.1246106743918787,1.2160334560292374,1.066066691042602,1.008811591299631,1.0505499999999999,1.00645,1.0222666666666664,0.12114999999999987,0.13490000000000002,0.11701569940476697,151164,766075,10,179,6,1,0.6248742166587541,0.4756215065015457,0.8127040439235562,0.4756215065015457,0.0,0.3333333333333333,0.6666666666666666,Information Technology,Bitcoin Mining,BTC Miners,4300000000.0,307000000.0,False,False,False,2025-11-24,False,False,False,1.2416764640131748,1.2281425345798178,0.2044761390164731,0.1510525437434893,3.5,True,,0.25,0.6388888888888888,0.375,0.6171875,0.625,0.734375,0.7140625,0.2708333333333333,0.8125,0.3333333333333333,0.5,0.0,0.4364131944444446,43.64131944444446,0.6315625,0.703125,0.650625,0.4417673611111112,True,False,False,False,covered_calls,"Frequent large gaps and ATR, Multiple sellable 10-30 delta strikes"
NVDA,2025-11-14,667.8097,0.5111230375269299,0.4485929680360756,0.4382231669015652,0.1717579552549604,52312430497.76358,0.025,0.0,-0.14627820801310698,-0.2125823457347651,0.028487188070378415,1.2722799720549691,1.2191463578985888,1.1164755653161962,0.9077185111017719,0.5821000000000001,0.5330999999999999,0.54864375,0.03915000000000013,0.04632500000000017,0.07644874158774191,399044,2116530,10,569,10,16,0.21629176442825546,0.1669113044546825,0.329933794321024,0.28050503154426576,0.0,0.3333333333333333,0.6666666666666666,Technology,Semiconductors,AI Infra,1980000000000.0,2450000000.0,False,False,False,2025-12-05,False,False,False,1.1388647297458796,1.297612850572343,0.07097696247307017,0.08450703196392428,13.0,True,,0.25,0.06388888888888888,0.3125,0.9296875,1.0,0.2890625,0.540625,0.2708333333333333,0.3125,0.06666666666666667,0.0,0.0,0.4329600694444444,43.296006944444436,0.5071875,0.6796875,0.7055208333333334,0.24894965277777778,False,True,False,False,wheel,Strong option liquidity
SOUN,2025-11-14,12.7207,0.7509474886475086,0.805723951924432,0.7476818732574456,0.18619651434276419,483790274.07251006,0.041666666666666664,0.025,-0.1913250224089813,-0.0753692504506599,0.040323702129022025,2.0224360636279246,1.8364407213545018,1.4862721520064321,1.292546711916199,1.09015,1.05095,1.054,0.09194999999999998,0.11424999999999996,0.14745920351737557,55721,331622,0,4,0,0,,,,,1.0,1.0,0.6666666666666666,Technology,Software - Application,AI Infra,3200000000.0,355000000.0,False,False,False,2025-11-28,False,False,False,1.4516993750966674,1.3530068175287955,0.33920251135249135,0.24522604807556803,0.0,True,,0.8333333333333334,0.7444444444444445,0.7708333333333334,0.1875,0.3125,0.65625,0.403125,0.75,0.3125,1.0,0.6875,0.0,0.4228680555555557,42.28680555555557,0.42781250000000004,0.3671875,0.3275,0.6668819444444445,False,False,False,True,watchlist,"High beta vs QQQ/SPY, Elevated ATM IV, IV well above realized vol, Persistent elevated IV backdrop"
RKLB,2025-11-14,13.8981,0.5471880776501765,0.5248016947119812,0.5255931482249675,0.18175608793391085,177988574.555865,0.025,0.0,-0.2539655274218571,-0.261057735762783,0.03129878036311161,1.4810197789335293,1.3803106257754585,1.339342529624031,0.9972256706103997,0.7858,0.7465999999999999,0.7504,0.05745000000000011,0.07697500000000002,0.13618290045349127,92780,520804,10,91,3,1,0.39645273198455255,0.37210872726323585,0.5199546485260771,0.37210872726323585,1.0,1.0,0.6666666666666666,Industrials,Aerospace & Defense,Space,9500000000.0,505000000.0,False,False,False,2025-12-11,False,False,False,1.4360693006589424,1.4973274818238886,0.23861192234982354,0.2217983052880187,2.0,True,,0.4583333333333333,0.3194444444444444,0.6875,0.5390625,0.3958333333333333,0.3203125,0.5859375,0.75,0.1875,0.7333333333333333,0.25,0.0,0.3840920138888889,38.40920138888889,0.5359375000000001,0.5979166666666667,0.5576388888888889,0.38728993055555555,False,False,False,False,covered_calls,Persistent elevated IV backdrop
